old_species,new_species,ani,accession,phenotype,antibiotic,measurement_sign,measurement_value,measurement_unit,laboratory_typing_method,laboratory_typing_platform,testing_standard,testing_standard_year,publication,isolation_source,isolation_country,collection_date,biosample,genome
Staphylococcus aureus,Staphylococcus aureus,0.9878653966456248,ERR029363,Resistant,erythromycin,,,,Disk diffusion,,CLSI,2013,25903077,,Singapore,,ERS016478,ENA_SAMEA800315
Staphylococcus aureus,Staphylococcus aureus,0.9951859124082127,ERR030214,Resistant,erythromycin,,,,Disk diffusion,,CLSI,2013,25903077,,Singapore,,ERS016574,ENA_SAMEA800355
Staphylococcus aureus,Staphylococcus aureus,0.9948140872905626,ERR030213,Resistant,erythromycin,,,,Disk diffusion,,CLSI,2013,25903077,,Singapore,,ERS016583,ENA_SAMEA800258
Staphylococcus aureus,Staphylococcus aureus,0.9948657412476104,ERR030252,Resistant,erythromycin,,,,Disk diffusion,,CLSI,2013,25903077,,Singapore,,ERS016635,ENA_SAMEA800219
Staphylococcus aureus,Staphylococcus aureus,0.994657346532831,ERR030277,Resistant,erythromycin,,,,Disk diffusion,,CLSI,2013,25903077,,Singapore,,ERS016654,ENA_SAMEA800372
Staphylococcus aureus,Staphylococcus aureus,0.99482476558213,ERR030281,Resistant,erythromycin,,,,Disk diffusion,,CLSI,2013,25903077,,Singapore,,ERS016657,ENA_SAMEA800369
Staphylococcus aureus,Staphylococcus aureus,0.9948267744304308,ERR053018,Resistant,erythromycin,,,,Disk diffusion,,CLSI,2013,25903077,,Singapore,,ERS040914,ENA_SAMEA1021900
Staphylococcus aureus,Staphylococcus aureus,0.994816121367868,ERR053031,Resistant,erythromycin,,,,Disk diffusion,,CLSI,2013,25903077,,Singapore,,ERS040927,ENA_SAMEA1021870
Neisseria gonorrhoeae,Neisseria gonorrhoeae,0.9970258835283808,ERR191734,Resistant,tetracycline,,4.0,mg/L,Broth dilution,,CLSI,2013,24462211,urethra,USA,,ERS135208,ENA_SAMEA1690501
Neisseria gonorrhoeae,Neisseria gonorrhoeae,0.9970514220589124,ERR191756,Resistant,tetracycline,,4.0,mg/L,Broth dilution,,CLSI,2013,24462211,urethra,USA,,ERS135230,ENA_SAMEA1690399
Neisseria gonorrhoeae,Neisseria gonorrhoeae,0.9970738300195076,ERR191776,Resistant,tetracycline,,4.0,mg/L,Broth dilution,,CLSI,2013,24462211,urethra,USA,,ERS135250,ENA_SAMEA1690340
Neisseria gonorrhoeae,Neisseria gonorrhoeae,0.99759377245696,ERR191779,Susceptible,tetracycline,,0.25,mg/L,Broth dilution,,CLSI,2013,24462211,urethra,USA,,ERS135253,ENA_SAMEA1690453
Neisseria gonorrhoeae,Neisseria gonorrhoeae,0.9970123573030234,ERR191801,Resistant,tetracycline,,2.0,mg/L,Broth dilution,,CLSI,2013,24462211,urethra,USA,,ERS135275,ENA_SAMEA1690471
Neisseria gonorrhoeae,Neisseria gonorrhoeae,0.9970423897599484,ERR191804,Resistant,tetracycline,,4.0,mg/L,Broth dilution,,CLSI,2013,24462211,urethra,USA,,ERS135278,ENA_SAMEA1690335
Neisseria gonorrhoeae,Neisseria gonorrhoeae,0.9972040326245458,ERR191809,Resistant,tetracycline,,4.0,mg/L,Broth dilution,,CLSI,2013,24462211,urethra,USA,,ERS135283,ENA_SAMEA1690445
Neisseria gonorrhoeae,Neisseria gonorrhoeae,0.9965319969824136,ERR223616,Resistant,tetracycline,,4.0,mg/L,Broth dilution,,CLSI,2013,24462211,urethra,USA,,ERS135313,ENA_SAMEA1690342
Neisseria gonorrhoeae,Neisseria gonorrhoeae,0.996901824928177,ERR223625,Resistant,tetracycline,,2.0,mg/L,Broth dilution,,CLSI,2013,24462211,urethra,USA,,ERS135322,ENA_SAMEA1690378
Neisseria gonorrhoeae,Neisseria gonorrhoeae,0.9970769309303976,ERR223649,Resistant,tetracycline,,2.0,mg/L,Broth dilution,,CLSI,2013,24462211,urethra,USA,,ERS135346,ENA_SAMEA1690508
Neisseria gonorrhoeae,Neisseria gonorrhoeae,0.9972710267995142,ERR223664,Resistant,tetracycline,,2.0,mg/L,Broth dilution,,CLSI,2013,24462211,urethra,USA,,ERS135361,ENA_SAMEA1690368
Neisseria gonorrhoeae,Neisseria gonorrhoeae,0.996921690913327,ERR223668,Intermediate,tetracycline,,0.5,mg/L,Broth dilution,,CLSI,2013,24462211,urethra,USA,,ERS135365,ENA_SAMEA1690489
Neisseria gonorrhoeae,Neisseria gonorrhoeae,0.9973727505139984,ERR223676,Resistant,tetracycline,,4.0,mg/L,Broth dilution,,CLSI,2013,24462211,urethra,USA,,ERS135373,ENA_SAMEA1690487
Neisseria gonorrhoeae,Neisseria gonorrhoeae,0.9968392540663024,ERR223686,Resistant,tetracycline,,16.0,mg/L,Broth dilution,,CLSI,2013,24462211,urethra,USA,,ERS135383,ENA_SAMEA1690507
Neisseria gonorrhoeae,Neisseria gonorrhoeae,0.9968122922793804,ERR223692,Resistant,tetracycline,,64.0,mg/L,Broth dilution,,CLSI,2013,24462211,urethra,USA,,ERS135389,ENA_SAMEA1690314
Neisseria gonorrhoeae,Neisseria gonorrhoeae,0.9970200036415412,ERR223695,Resistant,tetracycline,,4.0,mg/L,Broth dilution,,CLSI,2013,24462211,urethra,USA,,ERS135392,ENA_SAMEA1690494
Neisseria gonorrhoeae,Neisseria gonorrhoeae,0.9965564561884068,ERR222897,Intermediate,tetracycline,,1.0,mg/L,Broth dilution,,CLSI,2013,24462211,urethra,USA,,ERS135401,ENA_SAMEA1677404
Neisseria gonorrhoeae,Neisseria gonorrhoeae,0.9975439095298252,ERR222899,Susceptible,tetracycline,,0.25,mg/L,Broth dilution,,CLSI,2013,24462211,urethra,USA,,ERS135403,ENA_SAMEA1677394
Neisseria gonorrhoeae,Neisseria gonorrhoeae,0.9969769608480188,ERR222902,Intermediate,tetracycline,,1.0,mg/L,Broth dilution,,CLSI,2013,24462211,urethra,USA,,ERS135406,ENA_SAMEA1677481
Neisseria gonorrhoeae,Neisseria gonorrhoeae,0.9968515804796738,ERR222915,Resistant,tetracycline,,16.0,mg/L,Broth dilution,,CLSI,2013,24462211,urethra,USA,,ERS135419,ENA_SAMEA1677297
Neisseria gonorrhoeae,Neisseria gonorrhoeae,0.9970514220589124,ERR191760,Resistant,tetracycline,,4.0,mg/L,Broth dilution,,CLSI,2013,24462211,urethra,USA,,ERS135545,ENA_SAMEA1690401
Neisseria gonorrhoeae,Neisseria gonorrhoeae,0.9972368073605872,ERR191823,Resistant,tetracycline,,2.0,mg/L,Broth dilution,,CLSI,2013,24462211,urethra,USA,,ERS135566,ENA_SAMEA1690461
Neisseria gonorrhoeae,Neisseria gonorrhoeae,0.9973229765891604,ERR223636,Resistant,tetracycline,,2.0,mg/L,Broth dilution,,CLSI,2013,24462211,urethra,USA,,ERS135578,ENA_SAMEA1690443
Neisseria gonorrhoeae,Neisseria gonorrhoeae,0.996564039870334,ERR223642,Intermediate,tetracycline,,1.0,mg/L,Broth dilution,,CLSI,2013,24462211,urethra,USA,,ERS135580,ENA_SAMEA1690383
Neisseria gonorrhoeae,Neisseria gonorrhoeae,0.9967020468465628,ERR223660,Resistant,tetracycline,,16.0,mg/L,Broth dilution,,CLSI,2013,24462211,urethra,USA,,ERS135586,ENA_SAMEA1690500
Neisseria gonorrhoeae,Neisseria gonorrhoeae,0.9966888105628708,ERR223690,Susceptible,tetracycline,,0.25,mg/L,Broth dilution,,CLSI,2013,24462211,urethra,USA,,ERS135596,ENA_SAMEA1690415
Neisseria gonorrhoeae,Neisseria gonorrhoeae,0.9973708046028872,ERR223696,Susceptible,tetracycline,,0.25,mg/L,Broth dilution,,CLSI,2013,24462211,urethra,USA,,ERS135598,ENA_SAMEA1690454
Neisseria gonorrhoeae,Neisseria gonorrhoeae,0.9972129816661058,ERR191763,Resistant,tetracycline,,2.0,mg/L,Broth dilution,,CLSI,2013,24462211,urethra,USA,,ERS135649,ENA_SAMEA1690317
Neisseria gonorrhoeae,Neisseria gonorrhoeae,0.9972651530528986,ERR222895,Resistant,tetracycline,,4.0,mg/L,Broth dilution,,CLSI,2013,24462211,urethra,USA,,ERS135667,ENA_SAMEA1677456
Neisseria gonorrhoeae,Neisseria gonorrhoeae,0.9970184180367524,ERR223630,Susceptible,tetracycline,,0.25,mg/L,Broth dilution,,CLSI,2013,24462211,urethra,USA,,ERS135687,ENA_SAMEA1690472
Salmonella enterica,Salmonella enterica,0.9905880312003572,SRR5573144,Resistant,gentamicin,,16.0,mg/L,Broth dilution,,CLSI,2013,27381390,clinical sample,USA,,ERS2006671,ENA_SAMN02912014
Salmonella enterica,Salmonella enterica,0.9884888711811344,SRR5573064,Resistant,gentamicin,,8.0,mg/L,Broth dilution,,CLSI,2013,27381390,clinical sample,USA,,ERS2006696,ENA_SAMN02911934
Salmonella enterica,Salmonella enterica,0.9991504951486968,SRR5573056,Intermediate,gentamicin,,4.0,mg/L,Broth dilution,,CLSI,2013,27381390,clinical sample,USA,,ERS2006728,ENA_SAMN02911926
Staphylococcus aureus,Staphylococcus aureus,0.9832053885467272,ERR410059,Susceptible,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS393288,ENA_SAMEA2335094
Staphylococcus aureus,Staphylococcus aureus,0.9823477960183548,ERR410068,Susceptible,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS393297,ENA_SAMEA2335103
Staphylococcus aureus,Staphylococcus aureus,0.983366575805946,ERR410094,Susceptible,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS393323,ENA_SAMEA2335129
Staphylococcus aureus,Staphylococcus aureus,0.9835864351477654,ERR410105,Susceptible,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS393334,ENA_SAMEA2335140
Staphylococcus aureus,Staphylococcus aureus,0.9878557211856448,ERR418326,Resistant,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS397514,ENA_SAMEA2339843
Staphylococcus aureus,Staphylococcus aureus,0.9828451016327504,ERR418332,Resistant,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS397520,ENA_SAMEA2339849
Staphylococcus aureus,Staphylococcus aureus,0.9828009867891156,ERR418364,Resistant,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS397552,ENA_SAMEA2339881
Staphylococcus aureus,Staphylococcus aureus,0.9828097400276988,ERR418376,Resistant,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS397564,ENA_SAMEA2339893
Staphylococcus aureus,Staphylococcus aureus,0.983551281387451,ERR418397,Susceptible,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS397585,ENA_SAMEA2339914
Staphylococcus aureus,Staphylococcus aureus,0.9878356437967906,ERR418425,Resistant,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS397613,ENA_SAMEA2339942
Staphylococcus aureus,Staphylococcus aureus,0.9821934206068472,ERR418432,Susceptible,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS397620,ENA_SAMEA2339949
Staphylococcus aureus,Staphylococcus aureus,0.993483535325662,ERR418557,Susceptible,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS397745,ENA_SAMEA2340074
Staphylococcus aureus,Staphylococcus aureus,0.9933141500048712,ERR418575,Resistant,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS397763,ENA_SAMEA2340092
Staphylococcus aureus,Staphylococcus aureus,0.9862361382777136,ERR418602,Susceptible,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS397790,ENA_SAMEA2340119
Staphylococcus aureus,Staphylococcus aureus,0.9833108871283436,ERR418604,Susceptible,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS397792,ENA_SAMEA2340121
Staphylococcus aureus,Staphylococcus aureus,0.9841577236212664,ERR418607,Resistant,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS397795,ENA_SAMEA2340124
Staphylococcus aureus,Staphylococcus aureus,0.992323010031416,ERR418634,Susceptible,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS397822,ENA_SAMEA2340151
Staphylococcus aureus,Staphylococcus aureus,0.993582697397756,ERR418650,Susceptible,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS397838,ENA_SAMEA2340167
Staphylococcus aureus,Staphylococcus aureus,0.9821357519932106,ERR418694,Susceptible,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS397882,ENA_SAMEA2340211
Staphylococcus aureus,Staphylococcus aureus,0.98283986793683,ERR418742,Resistant,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS397930,ENA_SAMEA2340259
Staphylococcus aureus,Staphylococcus aureus,0.9879130982473484,ERR418755,Resistant,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS397943,ENA_SAMEA2340272
Staphylococcus aureus,Staphylococcus aureus,0.987935179018984,ERR418771,Resistant,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS397959,ENA_SAMEA2340288
Staphylococcus aureus,Staphylococcus aureus,0.9936465466043553,ERR418790,Susceptible,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS397978,ENA_SAMEA2340307
Staphylococcus aureus,Staphylococcus aureus,0.9923310513865892,ERR418806,Susceptible,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS397994,ENA_SAMEA2340323
Staphylococcus aureus,Staphylococcus aureus,0.99278769679764,ERR418852,Susceptible,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS398040,ENA_SAMEA2340369
Staphylococcus aureus,Staphylococcus aureus,0.9834681729437648,ERR418871,Susceptible,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS398059,ENA_SAMEA2340388
Staphylococcus aureus,Staphylococcus aureus,0.9935439833912776,ERR418921,Susceptible,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS398109,ENA_SAMEA2340438
Staphylococcus aureus,Staphylococcus aureus,0.9836757497115736,ERR418941,Resistant,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS398129,ENA_SAMEA2340458
Staphylococcus aureus,Staphylococcus aureus,0.9878579763748948,ERR418976,Resistant,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS398164,ENA_SAMEA2340493
Staphylococcus aureus,Staphylococcus aureus,0.9823371823244204,ERR418983,Susceptible,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS398171,ENA_SAMEA2340500
Staphylococcus aureus,Staphylococcus aureus,0.993516278977392,ERR418991,Resistant,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS398179,ENA_SAMEA2340508
Staphylococcus aureus,Staphylococcus aureus,0.9823987198330446,ERR418994,Susceptible,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS398182,ENA_SAMEA2340511
Staphylococcus aureus,Staphylococcus aureus,0.9937573889901564,ERR419039,Resistant,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS398227,ENA_SAMEA2340556
Staphylococcus aureus,Staphylococcus aureus,0.9830765314400218,ERR419060,Resistant,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS398248,ENA_SAMEA2340577
Staphylococcus aureus,Staphylococcus aureus,0.9834862467987722,ERR419067,Susceptible,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS398255,ENA_SAMEA2340584
Staphylococcus aureus,Staphylococcus aureus,0.9876809053041552,ERR419214,Resistant,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS398402,ENA_SAMEA2340731
Staphylococcus aureus,Staphylococcus aureus,0.9834356847935192,ERR419237,Susceptible,erythromycin,,,,,,CLSI,2013,26686880,,,,ERS398425,ENA_SAMEA2340754
Escherichia coli,Escherichia coli,0.9862213260474252,SRR2134681,Resistant,gentamicin,,20.0,mm,Disk diffusion,,CLSI,2013,,blood,USA,,SRS1016969,ENA_SAMN03892121
Acinetobacter baumannii,Acinetobacter baumannii,0.9844749023922011,SRR2976831,Resistant,ceftazidime,,64.0,mg/L,Broth dilution,,CLSI,2013,,trachael aspirate,USA,,SRS1051655,ENA_SAMN04022941
Salmonella enterica,Salmonella enterica,0.9877699958408986,SRR2407795,Resistant,gentamicin,,16.0,mg/L,Broth dilution,Sensititre,CLSI,2013,30333126,Ground Turkey,USA,,SRS1069056,ENA_SAMN03988475
Salmonella enterica,Salmonella enterica,0.9914091792605874,SRR2407778,Resistant,gentamicin,,8.0,mg/L,Broth dilution,Sensititre,CLSI,2013,30333126,Chicken Legs,USA,,SRS1069073,ENA_SAMN03988458
Salmonella enterica,Salmonella enterica,0.9888938468146976,SRR2407616,Resistant,gentamicin,,16.0,mg/L,Broth dilution,,CLSI,2013,,Ground Turkey,USA,,SRS1069235,ENA_SAMN03988296
Salmonella enterica,Salmonella enterica,0.990002665078044,SRR2407588,Resistant,gentamicin,,16.0,mg/L,Broth dilution,,CLSI,2013,30333126,Ground Turkey,USA,,SRS1069263,ENA_SAMN03988268
Salmonella enterica,Salmonella enterica,0.9871872829064215,SRR2567206,Susceptible,gentamicin,=,1.0,mg/L,Broth dilution,,CLSI,2013,27381390,Chicken Breast,USA,,SRS1101912,ENA_SAMN03894404
Salmonella enterica,Salmonella enterica,0.9874635191227268,SRR2567205,Resistant,gentamicin,,16.0,mg/L,Broth dilution,,CLSI,2013,27381390,Ground Turkey,USA,,SRS1101913,ENA_SAMN03894403
Salmonella enterica,Salmonella enterica,0.9898955746028062,SRR2567174,Resistant,gentamicin,,16.0,mg/L,Broth dilution,,CLSI,2013,27381390,Ground Turkey,USA,,SRS1101949,ENA_SAMN03894372
Salmonella enterica,Salmonella enterica,0.987496636586937,SRR2567167,Resistant,gentamicin,,16.0,mg/L,Broth dilution,,CLSI,2013,27381390,Ground Turkey,USA,,SRS1101956,ENA_SAMN03894365
Salmonella enterica,Salmonella enterica,0.9889981389244014,SRR2567151,Resistant,gentamicin,,16.0,mg/L,Broth dilution,CMV2AGNF/CMV3AGNF,CLSI,2013,27381390,Chicken Breast,USA,,SRS1101977,ENA_SAMN03894349
Salmonella enterica,Salmonella enterica,0.990749038509208,SRR2567137,Resistant,gentamicin,,16.0,mg/L,Broth dilution,,CLSI,2013,27381390,Chicken Breast,USA,,SRS1101991,ENA_SAMN03894335
Salmonella enterica,Salmonella enterica,0.991741733653936,SRR2567122,Susceptible,gentamicin,,0.5,mg/L,Broth dilution,Sensititre,CLSI,2013,30333126,Chicken Breast,USA,,SRS1102007,ENA_SAMN03894320
Salmonella enterica,Salmonella enterica,0.9870673108603356,SRR2567077,Susceptible,gentamicin,<=,0.25,mg/L,Broth dilution,CMV2AGNF/CMV3AGNF,CLSI,2013,27381390,Chicken Breast,USA,,SRS1102051,ENA_SAMN03894275
Salmonella enterica,Salmonella enterica,0.9937766862862047,SRR2567067,Resistant,gentamicin,,16.0,mg/L,Broth dilution,,CLSI,2013,27381390,Ground Turkey,USA,,SRS1102061,ENA_SAMN03894265
Salmonella enterica,Salmonella enterica,0.990013453082898,SRR2567036,Resistant,gentamicin,,16.0,mg/L,Broth dilution,CMV2AGNF/CMV3AGNF,CLSI,2013,27381390,Ground Turkey,USA,,SRS1102104,ENA_SAMN03894234
Salmonella enterica,Salmonella enterica,0.9937934434810298,SRR2567027,Resistant,gentamicin,,16.0,mg/L,Broth dilution,CMV2AGNF/CMV3AGNF,CLSI,2013,27381390,Ground Turkey,USA,,SRS1102113,ENA_SAMN03894225
Salmonella enterica,Salmonella enterica,0.9896472122219112,SRR2566984,Resistant,gentamicin,,16.0,mg/L,Broth dilution,CMV2AGNF/CMV3AGNF,CLSI,2013,27381390,Ground Turkey,USA,,SRS1102156,ENA_SAMN03894182
Salmonella enterica,Salmonella enterica,0.984744664871366,SRR2566982,Resistant,gentamicin,,16.0,mg/L,Broth dilution,CMV2AGNF/CMV3AGNF,CLSI,2013,27381390,Chicken Breast,USA,,SRS1102158,ENA_SAMN03894180
Salmonella enterica,Salmonella enterica,0.9935132659805236,SRR2566962,Resistant,gentamicin,,16.0,mg/L,Broth dilution,Sensititre,CLSI,2013,32513803,Ground Turkey,USA,,SRS1102178,ENA_SAMN03894160
Salmonella enterica,Salmonella enterica,0.997875361432212,SRR2566938,Resistant,gentamicin,,16.0,mg/L,Broth dilution,,CLSI,2013,27381390,Chicken Breast,USA,,SRS1102202,ENA_SAMN03894136
Salmonella enterica,Salmonella enterica,0.991317196169306,SRR2566892,Resistant,gentamicin,,16.0,mg/L,Broth dilution,CMV2AGNF/CMV3AGNF,CLSI,2013,27381390,Ground Turkey,USA,,SRS1102250,ENA_SAMN03894090
Acinetobacter baumannii,Acinetobacter baumannii,0.9815212068715792,SRR2911726,Susceptible,ceftazidime,=,8.0,mg/L,Broth dilution,BD Phoenix,CLSI,2013,25824815,sterile tissue of foot,USA,,SRS1155449,ENA_SAMN04229823
Salmonella enterica,Salmonella enterica,0.989774208094442,SRR2912654,Intermediate,gentamicin,,4.0,mg/L,Broth dilution,,CLSI,2013,30333126,Ground Turkey,USA,,SRS1158607,ENA_SAMN03938835
