sort_order,md5,label,name,filename,signature_file
1,6a9f6bea8178da89933e0ce26e8aac26,assemblies/GCA_034214875.1.fna,,assemblies/GCA_034214875.1.fna,/files/camda2024/resistence/anton/zenodo/kmers_k31_scaled100/GCA_034214875.1.sig
2,2138d9b6f3fdbac665c9a0abeeadf984,assemblies/ERR9766857.fna,,assemblies/ERR9766857.fna,/files/camda2024/resistence/anton/zenodo/kmers_k31_scaled100/ERR9766857.sig
3,48e33bceaa5327fc5ff3a7a552d92a75,assemblies/GCA_005329375.1.fna,,assemblies/GCA_005329375.1.fna,/files/camda2024/resistence/anton/zenodo/kmers_k31_scaled100/GCA_005329375.1.sig
4,6348270d3eae662e29cd8ac677b21690,assemblies/SRR3183476.fna,,assemblies/SRR3183476.fna,/files/camda2024/resistence/anton/zenodo/kmers_k31_scaled100/SRR3183476.sig
5,189fcc5a1f5b9788008c80da77e7caaf,assemblies/GCA_004880265.1.fna,,assemblies/GCA_004880265.1.fna,/files/camda2024/resistence/anton/zenodo/kmers_k31_scaled100/GCA_004880265.1.sig
6,ce2ce7060dc318db79ebc7285bbd3db6,assemblies/SRR3148205.fna,,assemblies/SRR3148205.fna,/files/camda2024/resistence/anton/zenodo/kmers_k31_scaled100/SRR3148205.sig
7,581b1f784aaf2a30bb340320b458f507,assemblies/SRR3185903.fna,,assemblies/SRR3185903.fna,/files/camda2024/resistence/anton/zenodo/kmers_k31_scaled100/SRR3185903.sig
8,9f46ec7fe99f9685bc263fa938cb33f5,assemblies/SRR3214705.fna,,assemblies/SRR3214705.fna,/files/camda2024/resistence/anton/zenodo/kmers_k31_scaled100/SRR3214705.sig
9,e5aab082b5d8e22de40e620efb3ab8f3,assemblies/ERR9766727.fna,,assemblies/ERR9766727.fna,/files/camda2024/resistence/anton/zenodo/kmers_k31_scaled100/ERR9766727.sig
10,7a45e533f4e62cf10946b31a6fd5e38f,assemblies/GCA_005293365.1.fna,,assemblies/GCA_005293365.1.fna,/files/camda2024/resistence/anton/zenodo/kmers_k31_scaled100/GCA_005293365.1.sig
11,bc56475f1bc9c6af8388ebd0fed58ad4,assemblies/SRR3995955.fna,,assemblies/SRR3995955.fna,/files/camda2024/resistence/anton/zenodo/kmers_k31_scaled100/SRR3995955.sig
12,6a705d830551904a5c2ca1a2d983bac4,assemblies/SRR4018337.fna,,assemblies/SRR4018337.fna,/files/camda2024/resistence/anton/zenodo/kmers_k31_scaled100/SRR4018337.sig
13,c47eedf10764bcd7ab6cb09b9a6a685d,assemblies/ERR9766840.fna,,assemblies/ERR9766840.fna,/files/camda2024/resistence/anton/zenodo/kmers_k31_scaled100/ERR9766840.sig
14,1a1b978f17af89f5f1fa5ab20d80b388,assemblies/SRR3666678.fna,,assemblies/SRR3666678.fna,/files/camda2024/resistence/anton/zenodo/kmers_k31_scaled100/SRR3666678.sig
15,c18ccf23d89d7aeeae754533194eac14,assemblies/GCA_005008175.1.fna,,assemblies/GCA_005008175.1.fna,/files/camda2024/resistence/anton/zenodo/kmers_k31_scaled100/GCA_005008175.1.sig
16,5ec9eac09a1d62aafcf51d6386a7d21d,assemblies/ERR9766743.fna,,assemblies/ERR9766743.fna,/files/camda2024/resistence/anton/zenodo/kmers_k31_scaled100/ERR9766743.sig
17,58a61a2442e2a5c56807b52d62c78bbd,assemblies/ERR9766915.fna,,assemblies/ERR9766915.fna,/files/camda2024/resistence/anton/zenodo/kmers_k31_scaled100/ERR9766915.sig
18,0296ca77b293923146f2f5b3b0dbbb44,assemblies/GCA_005215205.1.fna,,assemblies/GCA_005215205.1.fna,/files/camda2024/resistence/anton/zenodo/kmers_k31_scaled100/GCA_005215205.1.sig
19,0cef2824784f6473328ce0b89cf3acfc,assemblies/ERR9766678.fna,,assemblies/ERR9766678.fna,/files/camda2024/resistence/anton/zenodo/kmers_k31_scaled100/ERR9766678.sig
20,1c5def908eae35e841f09ae3736e18f6,assemblies/SRR15054015.fna,,assemblies/SRR15054015.fna,/files/camda2024/resistence/anton/zenodo/kmers_k31_scaled100/SRR15054015.sig
21,4b76de97e90c00890f3e81fac491db5e,assemblies/GCA_034211935.1.fna,,assemblies/GCA_034211935.1.fna,/files/camda2024/resistence/anton/zenodo/kmers_k31_scaled100/GCA_034211935.1.sig
22,47de07888d3fb72464b21ec433ad0522,assemblies/SRR4018338.fna,,assemblies/SRR4018338.fna,/files/camda2024/resistence/anton/zenodo/kmers_k31_scaled100/SRR4018338.sig
23,b542f2d0e014014308665a42c8e388c1,assemblies/GCA_006358955.1.fna,,assemblies/GCA_006358955.1.fna,/files/camda2024/resistence/anton/zenodo/kmers_k31_scaled100/GCA_006358955.1.sig
24,3d1eba32ad7b23ef31d5b0e235ecabd5,assemblies/SRR3350892.fna,,assemblies/SRR3350892.fna,/files/camda2024/resistence/anton/zenodo/kmers_k31_scaled100/SRR3350892.sig
25,94dd37597ad78bbb3e30a7bc18dc5c06,assemblies/GCA_014618175.1.fna,,assemblies/GCA_014618175.1.fna,/files/camda2024/resistence/anton/zenodo/kmers_k31_scaled100/GCA_014618175.1.sig
