sort_order,md5,label,name,filename,signature_file
1,a26d7d50b69bc1f35b418ecec43c5ff1,assemblies/GCF_003977915.1.fna,,assemblies/GCF_003977915.1.fna,/files/camda2024/resistence/anton/zenodo/kmers_k31_scaled100/GCF_003977915.1.sig
2,3164c8a3e913f7a870efe1bd00860710,assemblies/SRR8737684.fna,,assemblies/SRR8737684.fna,/files/camda2024/resistence/anton/zenodo/kmers_k31_scaled100/SRR8737684.sig
3,4033ce1618ec1306202fd877ead247b0,assemblies/SRR6995002.fna,,assemblies/SRR6995002.fna,/files/camda2024/resistence/anton/zenodo/kmers_k31_scaled100/SRR6995002.sig
4,7ba52d36bf8209dd7aa3fe5d785aa80c,assemblies/GCA_000792005.1.fna,,assemblies/GCA_000792005.1.fna,/files/camda2024/resistence/anton/zenodo/kmers_k31_scaled100/GCA_000792005.1.sig
5,190163ddfa19adbd4648d9bedc97441b,assemblies/GCA_000790545.1.fna,,assemblies/GCA_000790545.1.fna,/files/camda2024/resistence/anton/zenodo/kmers_k31_scaled100/GCA_000790545.1.sig
6,96ab2e9e8c8bae9ae562a64fb5bcaf62,assemblies/SRR8737454.fna,,assemblies/SRR8737454.fna,/files/camda2024/resistence/anton/zenodo/kmers_k31_scaled100/SRR8737454.sig
7,71faeecf1df8772e94cb0e78b10a0e03,assemblies/SRR8737672.fna,,assemblies/SRR8737672.fna,/files/camda2024/resistence/anton/zenodo/kmers_k31_scaled100/SRR8737672.sig
8,33b6e524ee40b9cc1fd767129fb50cc2,assemblies/SRR1056156.fna,,assemblies/SRR1056156.fna,/files/camda2024/resistence/anton/zenodo/kmers_k31_scaled100/SRR1056156.sig
9,126aba6041506489c84498be4d48a764,assemblies/GCA_000791605.1.fna,,assemblies/GCA_000791605.1.fna,/files/camda2024/resistence/anton/zenodo/kmers_k31_scaled100/GCA_000791605.1.sig
10,3ac3e4590d35c5f60f437f2bd047ef87,assemblies/GCA_024715145.1.fna,,assemblies/GCA_024715145.1.fna,/files/camda2024/resistence/anton/zenodo/kmers_k31_scaled100/GCA_024715145.1.sig
11,da6e82be81ef12a40075eacabfbafc46,assemblies/GCA_000794665.1.fna,,assemblies/GCA_000794665.1.fna,/files/camda2024/resistence/anton/zenodo/kmers_k31_scaled100/GCA_000794665.1.sig
12,2dd9e634d75560817e76ef18469ba870,assemblies/GCF_001874805.1.fna,,assemblies/GCF_001874805.1.fna,/files/camda2024/resistence/anton/zenodo/kmers_k31_scaled100/GCF_001874805.1.sig
13,9d2a7c53bc252525482a00f1e4724872,assemblies/SRR3618630.fna,,assemblies/SRR3618630.fna,/files/camda2024/resistence/anton/zenodo/kmers_k31_scaled100/SRR3618630.sig
14,831f5c1e4940abce844e3eb6c2d5c0c2,assemblies/SRR11288323.fna,,assemblies/SRR11288323.fna,/files/camda2024/resistence/anton/zenodo/kmers_k31_scaled100/SRR11288323.sig
15,b3bb88a460c4164085ca3a23a6b28520,assemblies/GCA_000793725.1.fna,,assemblies/GCA_000793725.1.fna,/files/camda2024/resistence/anton/zenodo/kmers_k31_scaled100/GCA_000793725.1.sig
16,64b59a400e480bf23791d68c64450496,assemblies/SRR8737355.fna,,assemblies/SRR8737355.fna,/files/camda2024/resistence/anton/zenodo/kmers_k31_scaled100/SRR8737355.sig
17,e42236f0384026a877ff06ef0dcec2b0,assemblies/GCA_000793765.1.fna,,assemblies/GCA_000793765.1.fna,/files/camda2024/resistence/anton/zenodo/kmers_k31_scaled100/GCA_000793765.1.sig
18,3e48649bdfab53d9ce5ac13f9c73bbce,assemblies/SRR1056085.fna,,assemblies/SRR1056085.fna,/files/camda2024/resistence/anton/zenodo/kmers_k31_scaled100/SRR1056085.sig
19,868deb2dc7c5048345f3eb390faad6c9,assemblies/SRR5093532.fna,,assemblies/SRR5093532.fna,/files/camda2024/resistence/anton/zenodo/kmers_k31_scaled100/SRR5093532.sig
20,25a98faff76f4bedb1df065b48781cc4,assemblies/GCF_003260415.1.fna,,assemblies/GCF_003260415.1.fna,/files/camda2024/resistence/anton/zenodo/kmers_k31_scaled100/GCF_003260415.1.sig
21,4c4024dc405d089aaaa4656a5d470cb5,assemblies/SRR8737676.fna,,assemblies/SRR8737676.fna,/files/camda2024/resistence/anton/zenodo/kmers_k31_scaled100/SRR8737676.sig
22,4dcacf35295e28c35847c97c8601a399,assemblies/SRR1056152.fna,,assemblies/SRR1056152.fna,/files/camda2024/resistence/anton/zenodo/kmers_k31_scaled100/SRR1056152.sig
23,c81d18b3339dd431a8735a80fe53b385,assemblies/SRR4417534.fna,,assemblies/SRR4417534.fna,/files/camda2024/resistence/anton/zenodo/kmers_k31_scaled100/SRR4417534.sig
24,45566044f6d7408c5222344cec983930,assemblies/SRR8737548.fna,,assemblies/SRR8737548.fna,/files/camda2024/resistence/anton/zenodo/kmers_k31_scaled100/SRR8737548.sig
25,e7fd977e8cfdb9f6bf3fb10845df55ed,assemblies/GCF_003968325.1.fna,,assemblies/GCF_003968325.1.fna,/files/camda2024/resistence/anton/zenodo/kmers_k31_scaled100/GCF_003968325.1.sig
26,a07e307de365dfdcb1c4b6326eaee5d9,assemblies/SRR8737364.fna,,assemblies/SRR8737364.fna,/files/camda2024/resistence/anton/zenodo/kmers_k31_scaled100/SRR8737364.sig
27,cda580d522806ffb42998ebf828f4c8a,assemblies/SRR1056099.fna,,assemblies/SRR1056099.fna,/files/camda2024/resistence/anton/zenodo/kmers_k31_scaled100/SRR1056099.sig
28,bc88a796ddd3b9b58b33de044c171dad,assemblies/SRR6985732.fna,,assemblies/SRR6985732.fna,/files/camda2024/resistence/anton/zenodo/kmers_k31_scaled100/SRR6985732.sig
29,a48ca1b3190e58ee0c8fd86597af8dc9,assemblies/SRR5642379.fna,,assemblies/SRR5642379.fna,/files/camda2024/resistence/anton/zenodo/kmers_k31_scaled100/SRR5642379.sig
30,3cd80708f6b929476339e1803dc3cdf8,assemblies/SRR8737623.fna,,assemblies/SRR8737623.fna,/files/camda2024/resistence/anton/zenodo/kmers_k31_scaled100/SRR8737623.sig
31,a703c25fc4866b710c24ac3c1315e346,assemblies/SRR1056130.fna,,assemblies/SRR1056130.fna,/files/camda2024/resistence/anton/zenodo/kmers_k31_scaled100/SRR1056130.sig
32,2a3a83626e9626861ec863e240545039,assemblies/SRR8737493.fna,,assemblies/SRR8737493.fna,/files/camda2024/resistence/anton/zenodo/kmers_k31_scaled100/SRR8737493.sig
33,5061a614810cd67bc51ba4da2e6b0159,assemblies/SRR1056162.fna,,assemblies/SRR1056162.fna,/files/camda2024/resistence/anton/zenodo/kmers_k31_scaled100/SRR1056162.sig
34,28505c537041ebebb1da08ba5eaa5f91,assemblies/GCA_000791565.1.fna,,assemblies/GCA_000791565.1.fna,/files/camda2024/resistence/anton/zenodo/kmers_k31_scaled100/GCA_000791565.1.sig
35,a68bd86264f84ca226e7dd5e693d66ec,assemblies/GCA_003969315.1.fna,,assemblies/GCA_003969315.1.fna,/files/camda2024/resistence/anton/zenodo/kmers_k31_scaled100/GCA_003969315.1.sig
36,a6551e5b515a7e0ce5e220a3d9d9bf36,assemblies/GCA_000792975.1.fna,,assemblies/GCA_000792975.1.fna,/files/camda2024/resistence/anton/zenodo/kmers_k31_scaled100/GCA_000792975.1.sig
37,fac443bcfc286044cdf8f2753a78870e,assemblies/GCF_003969415.1.fna,,assemblies/GCF_003969415.1.fna,/files/camda2024/resistence/anton/zenodo/kmers_k31_scaled100/GCF_003969415.1.sig
